ACT composite score,SAT total score,parental level of education,parental income,high school gpa,college gpa,years to graduate
31,2089,high school,70754,3.9,3.4,5
28,1951,some college,47691,3.7,3.2,5
31,2064,some college,129069,4,3.9,4
30,2049,some high school,58072,3.9,3.2,7
33,2001,high school,101844,4,3.9,7
26,2006,bachelor's degree,54068,3.6,3.4,6
27,1890,high school,40101,3.5,3.6,4
34,2277,associate's degree,78100,4,3.2,6
29,2079,some high school,35642,4,3.4,5
27,1901,some high school,30731,3.6,3.2,5
30,2116,bachelor's degree,49516,4,3.3,6
32,2218,high school,42395,4,3.3,6
28,2029,bachelor's degree,86057,3.8,3.6,3
31,2102,associate's degree,90097,4,3.5,4
26,1757,high school,60141,3.2,3.3,6
33,2218,master's degree,89237,4,3.3,5
28,1980,high school,37901,3.6,3.5,6
26,1919,high school,59755,3.6,3.7,3
28,1930,some high school,70026,3.7,3.2,6
34,2234,master's degree,93317,4,3.7,4
21,1654,some college,59560,2.8,3.1,5
29,2090,some college,64228,3.9,3.4,6
27,2072,bachelor's degree,96530,3.9,3.3,5
29,2021,some high school,48382,3.8,3.4,5
30,1994,bachelor's degree,98396,3.8,3.3,7
26,1864,high school,25455,3.4,2.9,6
26,1972,some high school,42880,3.5,3,6
32,2128,high school,66200,4,3.6,6
31,2118,some college,52824,4,3.5,8
27,1830,some high school,62070,3.4,3.2,4
29,1977,some college,58048,3.8,3,5
26,1805,high school,39082,3.2,3.1,5
34,2210,master's degree,62581,4,3.3,9
28,1974,associate's degree,49912,3.7,3.5,6
27,1955,some high school,40949,3.5,3.5,6
27,1900,high school,62230,3.6,3.2,5
31,2160,associate's degree,90716,4,3.2,5
26,1858,some high school,55653,3.4,3.3,4
30,2079,associate's degree,93441,4,3.4,7
27,1874,some high school,52958,3.7,3,7
22,1738,high school,86865,3,3.6,3
26,1845,some high school,62913,3.6,3.3,4
31,2046,high school,52548,4,3.6,3
34,2141,associate's degree,88782,4,3.7,4
27,1857,master's degree,81609,3.3,3.3,4
32,2060,associate's degree,55230,4,3.5,4
31,1989,associate's degree,47890,3.9,3.2,5
31,2023,some high school,34108,4,3.1,7
29,1901,some high school,38953,3.6,3.1,9
30,2063,associate's degree,83240,4,3.5,4
30,2121,master's degree,100284,4,3.7,4
31,2150,high school,66288,4,3.6,4
30,2044,bachelor's degree,96379,4,3.7,4
27,2063,bachelor's degree,75175,3.9,3.4,4
25,1807,some high school,53312,3.2,3.1,4
30,2066,some college,57395,3.9,3.1,5
26,1938,high school,68197,3.5,3.4,4
26,1941,bachelor's degree,71363,3.5,3.4,4
29,2037,associate's degree,87298,3.9,3.8,3
31,2045,high school,66924,4,3.7,3
27,1948,some college,88164,3.7,3.5,5
32,2151,high school,50010,4,3.4,5
28,1969,high school,79067,3.7,3.5,5
23,1778,some high school,71136,3.1,3.3,5
26,1862,some high school,46010,3.4,3.2,5
28,2034,high school,44444,3.8,3,7
24,1788,some college,85748,3.2,2.8,7
28,2027,bachelor's degree,74917,3.9,3.7,3
30,1968,some college,48205,3.8,3.3,5
30,2086,bachelor's degree,48151,4,3.1,6
32,2258,associate's degree,66449,4,3.6,6
27,1920,some high school,61319,3.5,3.5,3
31,2067,some college,69507,4,3.7,3
29,2117,some college,61185,4,3.3,4
24,1710,high school,72260,3,3.3,4
29,2043,some college,72509,3.9,3.5,4
26,1829,high school,36789,3.5,3.4,5
27,1950,high school,64696,3.5,3.5,5
28,1921,associate's degree,99030,3.6,3.5,4
25,1777,some college,22736,3.3,3.2,4
29,1958,associate's degree,68566,3.7,3,6
29,2033,bachelor's degree,81416,3.7,3.2,5
24,1845,some college,51978,3.3,3.3,7
28,1930,high school,56536,3.5,3.2,6
31,2218,some college,84846,4,3.5,8
26,1853,some high school,74608,3.4,3,5
25,1870,some college,70939,3.6,3.4,4
29,2055,high school,60456,3.8,3.6,4
30,2099,some college,78196,3.9,3.3,5
24,1904,some college,48412,3.5,3.3,5
26,1907,some college,72378,3.4,3.2,4
25,1825,some college,50626,3.3,3.2,7
24,1680,some high school,65416,3,3.3,3
29,2064,bachelor's degree,96892,4,3.7,3
30,2009,associate's degree,39351,3.9,3.5,5
28,1845,high school,36849,3.5,3.2,7
25,1874,some high school,55039,3.4,3.3,4
26,1873,high school,23941,3.4,3.1,5
29,2048,associate's degree,101129,4,3.6,4
29,2063,associate's degree,67009,3.8,3.5,6
26,1868,high school,45494,3.4,3.4,4
30,2096,high school,57405,3.9,3.3,4
28,2061,master's degree,111241,3.9,3.5,4
26,1952,some high school,29187,3.5,3,5
32,2218,bachelor's degree,54713,4,3.4,4
29,1869,some college,79936,3.5,3,5
27,1866,associate's degree,81435,3.5,3.1,5
27,1954,associate's degree,70403,3.4,3.4,4
34,2174,high school,56365,4,3.5,4
30,2058,some college,67980,3.9,3.6,3
31,2179,some college,65003,4,3.7,7
29,2040,associate's degree,88820,3.9,3.8,3
30,2093,bachelor's degree,91946,4,3.5,4
30,1923,some college,53894,3.7,3.3,8
29,2032,bachelor's degree,91169,3.9,3.5,7
32,2071,high school,51010,4,3.4,4
26,1759,some high school,55739,3.2,3.2,6
30,2029,high school,46518,3.7,3.5,4
27,1805,some high school,77231,3.3,3.3,4
32,2087,associate's degree,63702,4,3.3,7
27,2023,some college,86721,3.7,3.5,4
24,1805,associate's degree,56272,3.2,3.3,5
29,1935,high school,66125,3.6,3.6,3
26,1895,bachelor's degree,98930,3.4,3.3,4
30,2181,master's degree,67887,4,3.4,6
32,2113,some college,71380,4,3.8,6
30,2062,some high school,66828,3.9,3.3,6
26,1832,some high school,66434,3.3,3.2,4
27,1885,bachelor's degree,73641,3.5,3.3,4
26,1816,associate's degree,78234,3.3,3.4,5
29,2135,bachelor's degree,79104,4,3.5,4
30,2117,some college,84487,4,3.3,9
27,2015,some college,69053,3.7,3.1,7
30,1951,associate's degree,80330,3.8,3.3,9
28,2004,some college,50133,3.7,3.5,3
32,2198,some high school,45345,4,3.4,8
27,1942,some college,79064,3.6,3.4,5
32,2195,associate's degree,60477,4,3.5,5
30,2041,some high school,33444,3.9,3.3,5
29,1949,high school,54673,3.7,3.2,4
28,1948,some college,77707,3.7,3.5,4
30,2059,some high school,34623,4,3.4,7
29,1987,some high school,30235,3.7,3.2,7
25,1707,high school,29504,3.1,3,5
31,2118,some college,76983,4,3.4,4
31,2176,associate's degree,70357,4,3.5,5
27,1916,some high school,49299,3.6,3.2,7
33,2265,bachelor's degree,88345,4,3.4,5
24,1735,some high school,23842,3.2,3.1,7
31,2116,master's degree,88445,4,3.8,3
27,2022,some high school,56812,3.7,3.6,3
26,1822,some college,66113,3.3,3.4,7
26,1877,some high school,65508,3.6,3.6,5
26,1835,some high school,50496,3.5,3.2,4
29,1960,associate's degree,84514,3.9,3.6,7
24,1709,some college,99732,3.1,3.4,4
30,2211,associate's degree,72641,4,3.5,4
31,2061,high school,60664,3.9,3.5,4
28,2029,bachelor's degree,90814,3.8,3.4,5
32,2137,bachelor's degree,131763,4,3.7,5
26,2043,some college,55856,3.7,3.4,8
30,2018,bachelor's degree,61067,3.8,3.2,6
26,1942,some college,74404,3.6,3.6,5
27,1949,associate's degree,89105,3.6,3.3,4
25,1742,some college,54099,3.1,3.4,3
28,1919,high school,51693,3.6,3.5,3
26,1811,some high school,52462,3.2,3.1,4
29,1970,some college,67513,3.6,3.4,5
29,1925,high school,59516,3.7,3.5,4
29,1993,high school,54265,3.7,3.4,4
29,2024,some high school,56190,3.8,2.9,6
30,2033,some high school,81520,3.9,3.5,5
28,1898,some college,69513,3.6,3.5,4
30,2090,associate's degree,85963,4,3.8,4
25,1765,some high school,66566,3.3,3,5
30,2076,some college,78884,4,3.6,5
29,2027,associate's degree,83517,3.8,3.5,4
29,2065,associate's degree,69132,3.9,3.3,4
25,1826,some high school,60579,3.2,3.3,4
31,2217,bachelor's degree,75559,4,3.4,7
31,2058,some high school,36505,3.9,3,6
28,1993,high school,26579,3.7,3.2,5
29,1907,bachelor's degree,83130,3.6,3.5,4
34,2197,bachelor's degree,85725,4,3.5,5
29,1869,high school,63723,3.4,3.2,5
29,1873,associate's degree,62260,3.6,3.2,4
33,2165,associate's degree,69297,4,3.7,3
33,2131,some college,64541,4,3.3,4
31,2075,some college,47715,4,3.2,6
25,1836,high school,62608,3.4,3.2,6
28,2025,some high school,56787,3.6,3.3,4
32,2087,some college,73504,4,3.4,4
29,1917,bachelor's degree,64430,3.8,2.9,5
29,2021,master's degree,100943,3.9,3.5,7
28,1918,some college,75978,3.6,3.2,5
36,2338,master's degree,93852,4,3.8,4
29,1938,associate's degree,64414,3.7,3.5,8
28,1946,some college,70006,3.6,3.6,6
28,1957,associate's degree,65111,3.7,3.1,5
24,1851,master's degree,115324,3.2,3.1,5
33,2244,some college,67021,4,3.7,7
29,2110,some college,66909,3.9,3.3,4
20,1670,some college,51517,2.8,3,4
30,1979,some high school,44505,3.8,3.2,5
33,2241,master's degree,91444,4,3.5,6
29,2044,associate's degree,56295,3.9,3.3,4
33,2130,some college,84229,4,3.2,5
25,1829,some college,52901,3.3,3.2,5
27,2028,master's degree,107635,3.8,3.8,3
27,1896,associate's degree,80471,3.6,3.3,4
29,1869,some college,74988,3.6,3.5,6
28,2011,some high school,57816,3.7,3.7,5
30,2092,some college,67883,4,3.8,3
31,2141,high school,16423,4,3.6,5
29,2003,associate's degree,62482,3.8,3.4,4
26,1936,bachelor's degree,94855,3.7,3.5,4
26,1845,associate's degree,86783,3.4,3.6,5
29,2045,some college,91793,3.8,3.5,8
29,2105,some high school,58758,3.8,3.2,7
29,2079,associate's degree,62337,3.8,3.2,6
33,2158,associate's degree,59026,4,3.6,5
32,2281,bachelor's degree,74625,4,3.4,4
30,1999,high school,76113,3.8,3.2,5
31,2114,high school,78162,4,3.8,3
29,2071,associate's degree,42208,4,3.3,5
26,1821,some high school,43844,3.3,3.3,4
29,2104,some college,45552,4,3.2,7
30,1985,some college,65733,3.8,3.4,4
31,2145,some college,60097,4,3.2,6
24,1700,high school,46325,3.1,3,5
29,2030,high school,53923,3.8,3.1,6
28,1881,some high school,22476,3.6,3.3,4
31,2206,associate's degree,39536,4,3.5,6
26,1821,some high school,32041,3.4,3.4,4
26,1922,some college,66293,3.4,3.5,3
27,1925,some high school,53370,3.6,3.3,4
26,1916,some high school,46214,3.6,3.3,5
27,1924,some high school,34619,3.6,3.2,5
25,2020,associate's degree,73509,3.6,3.3,4
31,2127,associate's degree,64450,4,3.4,4
30,2103,high school,68573,3.9,3.8,3
28,1992,bachelor's degree,82325,3.9,3.5,4
28,1966,high school,64830,3.8,3.5,4
30,2051,associate's degree,59289,3.8,3.7,3
27,1876,some high school,34532,3.5,3.2,6
30,2053,associate's degree,84257,3.9,3.8,4
29,2107,some college,54055,3.9,3.6,3
28,1968,some high school,51139,3.8,3.1,5
30,2152,associate's degree,93408,4,3.7,5
25,1903,some high school,28076,3.5,2.9,7
33,2243,associate's degree,88305,4,3.7,5
32,2187,associate's degree,68731,4,3.8,5
29,2036,associate's degree,91128,3.8,3.2,7
28,1983,some college,77947,3.7,3.3,4
28,2039,bachelor's degree,56749,3.9,3.4,4
28,2032,associate's degree,81877,3.9,3.5,4
32,2136,bachelor's degree,81203,4,3.5,4
32,2305,associate's degree,80124,4,4,7
31,2197,master's degree,111205,4,4,3
29,1944,master's degree,89334,3.8,3.5,4
32,2215,some college,72652,4,3.6,4
30,1952,some high school,40853,3.8,3.3,5
25,1867,some college,94758,3.4,3.4,4
28,1983,master's degree,101366,3.7,3.5,4
31,2202,bachelor's degree,79586,4,3.5,5
28,2019,associate's degree,56843,3.8,3.6,3
32,2117,master's degree,89896,4,3.8,3
31,2116,bachelor's degree,77415,4,3.5,7
33,2137,some high school,43752,4,3.3,5
30,2105,high school,47686,3.9,3.6,4
31,2014,high school,49846,3.8,3.2,5
31,2161,associate's degree,78531,4,3.7,5
32,2200,bachelor's degree,73675,4,3.8,3
30,2128,bachelor's degree,70140,3.9,3.4,4
30,2102,master's degree,122936,3.9,3.7,4
28,1878,some college,92510,3.6,3.5,4
28,1994,associate's degree,90735,3.7,3.5,5
27,1998,bachelor's degree,101225,3.8,3.6,4
32,2125,high school,40893,4,3.7,6
22,1729,some college,73113,3.1,3.1,7
28,1974,associate's degree,58152,3.7,3.5,6
34,2225,master's degree,75890,4,3.5,5
29,1968,some high school,53928,3.8,3.2,5
30,2020,associate's degree,61921,3.8,3.4,4
25,1682,master's degree,66572,3.2,3.4,3
29,2049,some college,70312,3.8,3.5,6
30,2111,some high school,29689,4,3,6
27,1840,high school,66289,3.4,3.5,3
27,1921,some high school,34212,3.6,3.2,5
30,2132,some college,64754,4,3.3,5
29,1974,associate's degree,72806,3.7,3.2,7
27,1836,some college,75831,3.5,3.1,6
26,1822,some high school,58583,3.4,3.4,4
29,1953,high school,50335,3.7,3.4,8
25,1934,bachelor's degree,96805,3.5,3.7,3
31,2052,some college,55063,4,3.5,4
26,1915,associate's degree,49753,3.5,3.2,5
25,1842,high school,77663,3.3,3.4,4
28,2022,bachelor's degree,76445,3.8,3.3,4
28,1995,some high school,36711,3.7,3.4,7
29,1964,high school,59484,3.6,3.3,6
23,1790,high school,65509,3,3.4,3
26,2023,some college,86378,3.7,3.7,6
29,2023,some college,46259,4,3.2,6
28,1941,some high school,51060,3.6,3.4,7
33,2064,some high school,51344,4,3.1,5
25,1729,high school,64250,3.2,3.4,4
29,1974,some high school,61596,3.7,3.1,7
24,1746,some college,75486,3.1,3.2,4
28,1929,high school,46039,3.5,3,6
29,2004,some college,62704,3.8,3.2,7
31,2136,associate's degree,24000,4,3.4,6
30,2026,some college,67474,3.9,3.4,4
29,1934,high school,76282,3.8,3.5,4
28,1950,some high school,44776,3.7,3.4,4
29,1917,associate's degree,58490,3.7,3.3,4
28,2016,associate's degree,81754,3.6,3.4,4
26,1756,some high school,37702,3.3,2.9,6
32,2204,some college,68949,4,3.6,7
30,2112,master's degree,96691,4,3.2,6
27,1841,some high school,75408,3.4,3.6,3
26,1843,high school,33842,3.3,3,6
32,2221,high school,73378,4,3.8,3
29,2062,high school,25785,3.8,2.6,8
27,1826,some high school,70851,3.4,3.3,4
32,2225,master's degree,87826,4,3.3,5
26,1761,high school,68465,3.2,3.5,3
29,1869,some college,56583,3.6,3.4,3
30,2039,some college,66285,3.9,3.5,4
25,1846,some college,97796,3.3,3.2,5
29,2190,bachelor's degree,83692,4,3.3,5
31,2120,some college,56892,4,3.1,5
27,1880,some high school,63498,3.5,3.3,4
27,2043,some high school,42315,3.8,2.9,6
27,1870,high school,53034,3.5,3.3,5
27,1943,high school,44083,3.6,3.2,5
29,2010,some college,56946,3.9,3.3,8
32,2137,some high school,45700,4,3.3,5
33,2184,high school,77744,4,3.6,5
28,1967,high school,49155,3.6,2.9,6
29,2015,high school,41215,3.6,3.3,7
29,1907,high school,77964,3.6,3.4,4
30,2068,associate's degree,88829,3.9,3.6,6
29,2146,associate's degree,83867,4,3.8,3
29,2089,bachelor's degree,66862,4,3.5,4
31,2251,bachelor's degree,64937,4,3.5,6
35,2253,associate's degree,54465,4,3.7,4
31,2097,some college,68089,4,3.1,5
28,1942,master's degree,65101,3.7,3.2,5
29,2138,bachelor's degree,66592,4,3.2,5
26,1850,some college,103886,3.6,3.8,3
28,1966,some high school,51968,3.7,3.6,5
30,2077,associate's degree,65824,3.9,3.3,4
32,2084,master's degree,75379,4,3.6,6
26,1775,some high school,67151,3.2,3.5,4
26,1915,some college,71516,3.4,3.3,5
28,2021,some high school,54502,3.8,3.5,4
29,2014,bachelor's degree,48451,3.8,3.3,5
27,1944,associate's degree,63088,3.6,3.5,3
32,2088,associate's degree,92210,4,3.2,5
32,2140,master's degree,114684,4,3.6,5
28,1910,high school,53299,3.5,2.9,6
31,2003,high school,53778,3.9,3.3,4
29,2055,some college,59805,4,3.1,5
29,2089,some high school,58869,3.9,3.4,4
25,1840,bachelor's degree,78720,3.4,3.5,3
28,1923,some college,58949,3.4,3.3,4
30,1951,some high school,49525,3.8,3.4,5
26,1908,some college,56588,3.5,3.2,4
26,2012,some college,44582,3.8,3.1,5
29,2065,high school,65722,3.9,3.5,8
27,1921,high school,82369,3.5,3.5,5
36,2301,master's degree,100987,4,3.8,4
26,1941,associate's degree,83850,3.4,3.4,4
28,2105,bachelor's degree,126477,4,4,3
31,2096,master's degree,107998,4,3.7,5
23,1637,some high school,48528,2.8,2.7,6
31,2098,some college,61809,4,3.3,4
29,2110,associate's degree,89614,4,3.4,5
33,2167,high school,69894,4,3.5,5
34,2208,associate's degree,78506,4,4,3
33,2335,bachelor's degree,82701,4,3.7,4
26,1863,high school,46689,3.3,3.2,5
28,2023,some college,82171,3.9,3.8,5
30,1994,some college,64531,3.9,3.1,9
30,2065,associate's degree,93630,3.9,3.4,4
31,2242,associate's degree,87099,4,3.3,5
30,2095,associate's degree,54917,4,3.8,3
28,2138,master's degree,99556,3.9,3.3,5
31,2042,some high school,44077,3.9,3.6,5
30,2017,some college,55081,3.8,3.2,7
26,1922,some college,87377,3.6,3.6,4
33,2212,bachelor's degree,108129,4,3.8,4
26,1934,some college,62328,3.6,3.4,4
31,2223,master's degree,83183,4,3.8,3
29,2129,some college,61309,4,3.3,4
29,1945,some college,81361,3.6,3.5,3
27,1855,high school,69913,3.3,3.3,4
28,2004,high school,79137,3.7,3.1,5
29,2008,some college,68406,3.8,3.4,6
27,1812,high school,69181,3.4,3.4,4
29,1833,associate's degree,47173,3.6,3.5,5
24,1771,some high school,57197,3.2,2.8,5
32,2188,some college,89117,4,3.7,4
29,2045,some college,76794,3.8,3,7
30,2120,associate's degree,82701,4,3.3,6
29,1947,associate's degree,55863,3.8,3.5,8
29,1986,bachelor's degree,80797,3.8,3,5
32,2231,associate's degree,90547,4,3.5,4
28,2007,some college,52258,3.7,3.4,8
33,2202,some high school,42209,4,3.4,5
30,1970,associate's degree,59757,3.7,3.2,5
21,1730,some college,86424,3.1,3.4,4
30,2103,high school,63052,4,3.4,6
27,1911,associate's degree,86982,3.5,3.3,4
24,1832,bachelor's degree,85629,3.4,2.9,5
28,1929,some college,67915,3.5,3.3,4
29,2067,bachelor's degree,81840,3.9,3.6,4
27,1864,high school,55211,3.4,3.5,6
26,1845,bachelor's degree,86470,3.5,3.3,4
32,2147,some college,64253,4,3.3,4
29,1881,some college,80895,3.6,3.5,4
29,2010,bachelor's degree,59322,3.8,3.2,4
29,1953,high school,51343,3.7,3.3,4
26,1925,master's degree,82430,3.6,3.6,4
28,1849,high school,52281,3.5,3,9
30,2050,high school,43205,3.8,3.5,4
31,2175,some college,41852,4,3.4,8
28,2119,bachelor's degree,74862,3.9,3.4,4
27,1977,some high school,39019,3.6,3,6
27,1827,high school,39269,3.3,3.4,4
25,1718,high school,14922,3.2,3,5
30,2075,master's degree,84797,4,3.7,4
23,1705,associate's degree,107770,3.1,3.5,4
35,2250,associate's degree,96922,4,4,4
30,2007,some college,46855,3.9,3.2,6
29,2037,some college,50377,3.8,3,7
35,2213,high school,45737,4,3.4,6
34,2202,master's degree,59575,4,3.1,5
27,1860,some high school,40307,3.6,3.1,5
32,2249,master's degree,113705,4,3.8,6
25,1803,some high school,45858,3.2,3.1,5
32,2079,associate's degree,76416,4,3.6,4
29,2049,master's degree,81842,3.9,3.6,3
34,2306,some college,90702,4,3.5,6
32,2214,some college,72401,4,3.4,9
29,1978,high school,39772,3.8,3.4,6
34,2205,bachelor's degree,77372,4,3.5,4
27,2000,master's degree,88792,3.8,3.3,4
29,1781,high school,57138,3.5,3.5,3
29,2017,high school,41012,3.7,3.4,5
28,1921,some college,79123,3.6,2.9,7
28,2083,high school,73399,3.8,3.3,5
25,1777,some high school,20563,3.1,3.1,5
28,1881,some college,88112,3.5,3.7,3
26,2009,some high school,38183,3.6,3.5,7
31,2091,some high school,72973,4,3.1,6
33,2173,associate's degree,99168,4,3.8,6
27,1952,some college,66158,3.5,3.5,3
26,1871,some high school,59383,3.5,3.4,4
34,2241,associate's degree,68986,4,3.9,3
33,2233,high school,60142,4,3.3,7
31,2052,high school,67997,3.9,3.6,6
31,2145,master's degree,84934,4,3.7,3
24,1772,some high school,12569,3.3,3,5
27,1945,associate's degree,131335,3.6,3.7,4
32,2143,bachelor's degree,97380,4,3.8,4
32,2225,master's degree,112505,4,3.8,4
26,1798,some college,76934,3.4,3.2,4
30,2068,some college,72073,4,3.3,5
33,2211,associate's degree,86167,4,3.5,4
32,2178,some high school,58232,4,3.5,4
25,1809,high school,66778,3.2,3.3,4
26,1865,some high school,36038,3.3,3.1,7
25,1892,high school,99517,3.4,3.5,4
30,2064,high school,58408,3.9,3.7,3
27,1963,some college,67633,3.7,3.1,8
30,1985,associate's degree,84019,3.9,3.5,6
24,1755,some high school,29983,3.2,3,5
25,1718,high school,61470,3.2,3.3,4
29,2087,some college,32704,4,3.4,7
24,1795,some high school,34070,3.2,2.8,6
32,2188,bachelor's degree,73710,4,3.2,7
29,2049,high school,41465,3.7,3.2,6
33,2262,some college,51428,4,3.6,4
31,2296,associate's degree,60400,4,3.5,4
30,2059,associate's degree,88586,3.8,3.3,7
29,1998,associate's degree,58477,3.7,3.5,6
27,1793,high school,68332,3.5,3.1,5
28,2028,master's degree,53489,3.8,3.3,4
30,2102,bachelor's degree,67794,4,3.7,4
32,2250,bachelor's degree,100230,4,3.4,5
28,1917,high school,46276,3.5,3.4,5
28,2036,associate's degree,84413,3.9,3.5,4
29,2038,some college,62465,3.9,3.5,5
28,1928,bachelor's degree,54065,3.7,3.4,7
29,1948,high school,54772,3.7,3.1,5
28,1933,some high school,58900,3.6,3.4,4
27,1937,some college,43175,3.6,2.8,6
30,2075,some high school,84696,4,3.1,8
31,2105,master's degree,90976,4,3.5,4
24,1764,high school,40161,3.1,2.9,6
33,2237,master's degree,119341,4,3.8,4
33,2279,associate's degree,76557,4,3.9,3
29,2189,some college,88402,4,3.4,7
31,2086,some high school,18638,3.9,3.1,5
31,2228,master's degree,81078,4,3.6,4
29,1957,master's degree,92638,3.8,3.5,4
28,1874,some high school,13098,3.4,3.4,5
27,1905,some college,53450,3.6,3.5,5
30,2049,associate's degree,80839,3.9,3.6,6
27,1869,associate's degree,80146,3.4,3.1,8
30,2037,associate's degree,70364,3.9,3.1,5
33,2154,bachelor's degree,93546,4,3.7,5
29,1886,high school,60998,3.5,3.6,3
29,1933,some college,71139,3.5,3.4,4
30,2122,some high school,28270,3.9,3.4,4
27,1923,some college,68488,3.7,3.2,5
28,1919,high school,72742,3.6,3.6,3
30,2044,high school,42915,3.9,3.4,7
32,2124,bachelor's degree,70831,4,3.6,5
32,2145,some high school,48895,4,3.3,7
28,1997,associate's degree,48988,3.7,3.1,5
25,1852,high school,24794,3.4,2.9,8
27,2040,some college,45832,3.7,3.1,9
27,1985,some college,64029,3.8,3.1,5
26,1913,associate's degree,79540,3.6,3.5,4
30,2122,high school,40347,4,3.6,4
29,2042,associate's degree,89705,4,3.3,5
28,1894,high school,56785,3.5,3.4,4
30,1997,high school,94832,3.9,3.7,4
29,1934,high school,39962,3.8,3.3,5
29,1986,master's degree,78004,3.7,3.2,5
24,1710,some high school,60228,3.2,3.4,5
30,2033,some college,65843,3.8,3.4,5
25,1796,some college,78864,3.2,3.2,4
29,2003,high school,57357,3.8,3.4,4
26,1932,some college,59712,3.5,3.2,6
28,1954,master's degree,93223,3.6,3.4,6
24,1687,some high school,12019,3,2.9,5
28,1865,some high school,43864,3.6,3.3,6
30,2069,some college,77267,3.8,3.5,8
27,1948,some high school,72097,3.6,3.5,4
21,1645,some high school,45310,2.8,3.1,7
29,2034,associate's degree,64319,4,3.4,4
25,1848,bachelor's degree,68496,3.4,3.4,6
29,2050,some college,86014,3.9,3.4,4
25,1844,some college,55296,3.5,3.5,5
31,1996,some high school,73743,3.8,3.5,4
33,2179,master's degree,97576,4,3.7,4
25,1769,high school,53787,3.2,3.4,3
23,1729,associate's degree,74217,3.2,3,5
29,1960,high school,57095,3.7,3.4,6
29,2111,some college,69531,4,3.2,5
24,1803,bachelor's degree,62054,3.4,3.2,4
31,2055,high school,40723,4,3.5,6
32,2240,master's degree,90900,4,3.9,4
35,2330,bachelor's degree,122691,4,3.9,4
31,2140,some high school,71044,4,3.4,5
27,1935,some college,78342,3.7,3.4,4
31,2189,some college,67785,4,3.7,3
30,2133,high school,68301,3.9,3.5,4
32,2235,bachelor's degree,67125,4,3.5,5
27,1934,high school,43838,3.5,3,6
26,1869,some college,69396,3.3,3.3,7
31,2064,bachelor's degree,88778,4,3.5,4
30,2128,master's degree,88503,4,3.3,5
26,1879,high school,40321,3.3,3.1,5
30,2061,associate's degree,95506,3.9,3.4,5
33,2398,master's degree,83635,4,3.6,4
25,1903,some college,62870,3.4,3.2,6
27,1906,associate's degree,72759,3.7,3.4,4
25,1822,some high school,58013,3.4,3.6,3
26,1884,some college,54419,3.5,3.1,4
31,2045,some high school,36524,3.9,3.2,9
36,2218,associate's degree,96739,4,4,3
27,2013,associate's degree,69723,3.6,3.3,4
26,1826,some high school,63829,3.4,3.4,5
28,1991,some high school,79291,3.7,3.5,4
30,1981,some college,66300,3.8,3.7,3
26,1906,some college,34371,3.6,3.3,8
30,2099,some college,70358,3.9,3.7,3
34,2174,associate's degree,93010,4,3.6,4
30,2056,some high school,61526,3.8,3.2,5
32,2255,bachelor's degree,72917,4,3.7,3
34,2350,bachelor's degree,91348,4,3.6,4
25,1726,high school,61193,3.3,3.3,4
29,2014,some high school,55771,3.7,3.6,3
22,1635,some college,68608,2.9,2.8,6
29,1985,some high school,56852,3.8,2.9,7
25,1840,associate's degree,67551,3.3,2.9,5
27,1867,high school,66478,3.3,3.4,5
31,2159,some college,72449,4,3.5,4
30,1997,some college,61104,3.8,3.1,5
28,1919,high school,55086,3.6,3,5
24,1756,high school,67334,3.1,3.3,4
25,1760,high school,48835,3.1,3.1,6
29,2105,high school,74835,3.9,3.6,7
29,2031,master's degree,68925,3.7,3.3,4
27,1912,associate's degree,84251,3.6,3.6,3
34,2232,associate's degree,51046,4,3.6,4
27,2009,some college,68698,3.8,3.3,4
27,1850,some high school,61021,3.4,3.2,5
29,1932,high school,72408,3.7,3.5,4
32,2094,some college,69776,4,3.6,5
26,1836,bachelor's degree,105904,3.4,3.5,4
30,2025,master's degree,115243,3.8,3.9,7
27,1939,high school,44182,3.6,3.5,7
27,1914,associate's degree,68638,3.5,3,6
24,1888,some high school,90473,3.3,3.4,4
29,2133,bachelor's degree,106943,4,3.5,4
27,1886,associate's degree,57414,3.5,3,7
29,2078,high school,25510,4,3,8
28,2011,high school,74815,3.8,3.4,7
29,2170,associate's degree,51068,4,3.1,5
27,1930,high school,50664,3.5,3.3,6
32,2353,bachelor's degree,78911,4,3.6,6
26,1830,some high school,44450,3.4,3.3,6
30,2229,some college,73468,4,3.7,4
31,2035,bachelor's degree,79082,3.9,3.3,5
27,1825,high school,82808,3.4,3.4,4
26,1793,high school,69100,3.2,3.4,5
27,2025,some high school,48933,3.6,3.1,5
29,1918,associate's degree,71236,3.7,3.5,7
29,2017,some college,62050,3.8,3.2,4
32,2078,master's degree,95550,4,3.9,3
30,2122,some college,41958,3.9,3.1,5
27,1957,high school,50656,3.5,3.3,4
28,2105,bachelor's degree,122095,4,3.6,4
32,2165,some college,45363,4,3.6,4
30,2044,high school,53614,3.9,3.3,4
29,1961,some college,36181,3.8,3.4,6
26,1919,some college,61313,3.4,3.3,4
29,1986,bachelor's degree,58781,3.8,3.3,4
27,1894,high school,36295,3.5,3.2,5
33,2180,high school,65800,4,3.8,4
30,2139,some college,75163,4,3,6
28,1955,associate's degree,83578,3.5,3.4,7
28,2029,associate's degree,68035,3.7,3.4,5
27,1834,high school,61093,3.5,3,5
28,2023,some college,79241,3.7,3.1,5
30,2137,associate's degree,78701,4,3.5,4
